ISIN ;        Regiones ;              Sectores ;                   Capitalizacion ;      Vencimientos ;         CalidadCrediticia ;   EntidadEmisora
IE00B03HD191; 65&3&0&5&15&0&0&8&2&2;  4&10&15&3&9&15&3&9&4&10&18;  48&37&16&0&0;         0;                     0;                    0 
IE00BFPM9N11; 65&3&0&5&15&0&0&8&2&2;  4&10&15&3&9&15&3&9&4&10&18;  48&37&16&0&0;         0;                     0;                    0 
IE00B18GC888; 42&4&2&5&31&1&1&10&2&2; 0;                           0;                    20&18&12&13&7&6&20&4;  42&16&24&18&0&0&0;    100&0
IE00BGCZ0B53; 42&4&2&5&31&1&1&10&2&2; 0;                           0;                    20&18&12&13&7&6&20&4;  42&16&24&18&0&0&0;    100&0 
IE00B4L5Y983; 65&3&0&5&15&0&0&8&2&2;  4&10&15&3&9&15&3&9&4&10&18;  48&37&16&0&0;         0;                     0;                    0
ITX;          15&0&0&0&60&0&0&0&0&25; 0&0&0&0&0&0&0&0&0&100&0;     100&0&0&0&0;          0;                     0;                    0
