Dia;Mes;Ano;Clasificacion;Asunto ;Descripcion;Gasto;Ingreso
25;Junio;2016;Caprichos;Steam;Juegos del ARK y Space Ingeniera ;22.28  ;0
26;Junio;2016;Banco;Interes;Abono Intereses;0;1.37  
27;Junio;2016;Transporte;Autobus ;Carcaixent - Hospital Ribera ;1.50  ;0
28;Junio;2016;Transporte;Autobus ;Hospital Ribera - Carcaixent ;1.50  ;0
28;Junio;2016;Gastos;Reprografia;Imprimir Solicitud ;0.20  ;0
29;Junio;2016;Transporte;Tren;Ida y Vuelta Carcaixent - ValenciaNort (sin familia numerosa);7.40  ;0
29;Junio;2016;Transporte;Bonometro;Bonometro 10 Viajes Zona A ;7.20  ;0
29;Junio;2016;Gastos;comida;Menu Trinket;5.45  ;0
29;Junio;2016;Salario;Sueldo;Practicas Empresa - Hospital Riera;0;343.88  
30;Junio;2016;Transporte;Autobus ;Carcaixent - Hospital Ribera ;1.50  ;0
1;Julio;2016;Salario;Ingreso Mensual;Ingreso Mensual;0;150.00  
1;Julio;2016;Gastos;Correos;Envio de los documentos de la matricula a Bilbao;14.56  ;14.56  
1;Julio;2016;Gastos;Farmacia;Pasta de dientes y Fluor de PERIO AIR;15.00  ;15.00  
8;Julio;2016;Ocio;Cena;Pizas en el Chalet ;17.44  ;0
9;Julio;2016;Ocio;Acualandia ;Acualandia ;21.00  ;21.00  
11;Julio;2016;Gastos;Mercadona;Compra semanal;27.97  ;0
13;Julio;2016;Ocio;Cine;Entrada Cine - Dos espias y medio;4.90  ;0
13;Julio;2016;Ocio;Cine;Palomitas y Fanta Cine;7.30  ;0
13;Julio;2016;Banco;Abonos;Abonos de Plazo;0;0.45  
14;Julio;2016;Ocio;Cena;Cena chinos Alzira ;30.05  ;40.00  
15;Julio;2016;Caprichos;Steam;Expansion DLC Bestias;15.74  ;0
15;Julio;2016;Ocio;Cine;Entrada Cine - Infierno Azul;8.00  ;0
15;Julio;2016;Ocio;Cine;Palomitas y Fanta Cine;7.30  ;0
29;Julio;2016;Salario;Sueldo;Practicas Empresa - Hospital Riera;0;336.88  
1;Agosto;2016;Salario;Ingreso Mensual;Ingreso Mensual;0;150.00  
12;Agosto;2016;Banco;Bankia;Intereses;0.13  ;0
18;Agosto;2016;Regalos;Steam;Juego StarWars;3.50  ;0
22;Agosto;2016;Transporte;Renfe;Ida y vuelta Valencia-Alzira;7.40  ;0
28;Agosto;2016;Transporte;Renfe;Ida y vuelta Valencia-Alzira;7.40  ;0
30;Agosto;2016;Salario;Remuneracion;Practicas empresa Ribera Salud UTE II;0;343.88  
1;Septiembre;2016;Salario;Ingreso Mensual;Ingreso Mensual;0;200.00  
1;Septiembre;2016;Gastos;Reprografia;fotocopias ducumentos matrículas ;0.40  ;0.40  
2;Septiembre;2016;Transporte;Renfe;ida y vuelta Valencia-Alzira;7.40  ;0
2;Septiembre;2016;Transporte;Renfe;targetas de descuento Fam. Num Renfe;8.00  ;0
2;Septiembre;2016;Estudios;UPV ;Tasas de translado expediente;27.34  ;0
2;Septiembre;2016;Estudios;UPV ;solicitud certificacion acadrmica;27.34  ;0
2;Septiembre;2016;Regalos;Steam;DLC TWWH The Grim and The Grave;8.60  ;0
3;Septiembre;2016;Transporte;BlaBla;Valencia-Bilbao;40.28  ;0
6;Septiembre;2016;Transporte;Metro;Recarga MetroBuss Barik;5.00  ;0
7;Septiembre;2016;Transporte;Metro;barik Anual Septiembre - Diciembre ;64.00  ;0
9;Septiembre;2016;Gastos;Reprografia;imprimir y fotocopiar documentos UNI;1.50  ;0
9;Septiembre;2016;Compras;Primark ;comprar calcetines ;6.50  ;0
9;Septiembre;2016;Compras;Eroski;pijama calentito ;27.46  ;0
13;Septiembre;2016;Gastos;Reprografia;Libro de algebra matematicas ;11.00  ;0
13;Septiembre;2016;Gastos;Chinos;paraguas de los chinos;8.00  ;0
13;Septiembre;2016;Ocio;Comida/Cena;Cena Sstella;12.00  ;0
15;Septiembre;2016;Gastos;Reprografia;Libro matematicas discretas ;10.00  ;0
15;Septiembre;2016;Gastos;Reprografia;libro de sistemas Digitales;13.30  ;0
17;Septiembre;2016;Ocio;Comida/Cena;Comida Sstella Kevab;13.00  ;0
18;Septiembre;2016;Gastos;Whish;Raton Gamer para el PC;5.87  ;0
20;Septiembre;2016;Transporte;BilmanBus;Ida y vuelta Bilbao-Valencia ;54.72  ;0
20;Septiembre;2016;Gastos;Comida;paquete de papas para el viaje;2.80  ;0
20;Septiembre;2016;Transporte;Renfe;Vuelta Valencia-Carcaixent;2.95  ;0
20;Septiembre;2016;Banco;intereses ;Gastos por servicio;0.12  ;0
21;Septiembre;2016;Estudios;UPV ;solicitud Titulo Ingeniería Eléctrica;93.12  ;0
