ISIN ; Producto ; Categoria ; Estrategia ; Descripcion ; Link
IE00B03HD191; Fondo ; Accion ; BogleHead ; Vanguard Global Stoks Index Fund Acumulation ; F0GBR052TN
IE00BFPM9N11; Fondo ; Accion ; BogleHead ; Vanguard Global Stoks Index Fund Acumulation ; F00000S7J6
IE00B18GC888; Fondo ; Bono ; BogleHead ; Vanguard Global Bonds Index Fund Acumulation ; F00000T1HT
IE00BGCZ0B53; Fondo ; Bono ; BogleHead ; Vanguard Global Bonds Index Fund Acumulation ; F00000T1HY
IE00B4L5Y983; ETF ; Accion ; BogleHead ; iShares Core MSCI World UCITS ETF ; 0P0000MLIH
ITX; Accion ; Accion ; DGI ; Inditex ; https://es.finance.yahoo.com/quote/ITX.MC?p=ITX.MC&.tsrc=fin-srch
